time_pf,num_of_cells,meiotic,stage,cell_diameter_um,spindle_length__asters_um,spindle_length_poles_um,spindle_width_um,spindle_aspect_ratio_asters_um,spindle_aspect_ratio_poles_um,astere-to-pole_distance_1_um,aster-to-pole_distance_2_um,inner_aster_diameter_1_um,inner_aster_diameter_2_um,outer_aster_diameter_1_um,outer__diameter_2_um,centrosome,metaphase_plate_lengt_h_um,metaphase_plate_width_um,metaphase_plate_aspect_ratio_um,polar_body_diameter_1_um,polar_body_diameter_2_um,distance_between_chromosomes_um,microscope,fixation,organism,phylum,classification,genome,chromosomes,cleavage_type,num_of_cells_CAT,num_of_cells_NUM,classification_CAT,phylum_CAT,organism_CAT,cleavage_type_CAT,fixation_CAT,microscope_CAT,stage_CAT,day_old
240,2,0,m,154.58520000000001,37.999500000000005,28.63707,16.26702,2.335984095427436,1.7604373757455272,2.65188,3.21783,5.287590000000001,4.18803,25.50009,29.68812,1,14.65002,5.40078,2.712574850299401,13.469610000000001,9.3206,0.0,mm40,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,2.0,2.0,1,1,1,1,2.0,1.0,2.0,140603
240,2,0,a,189.18900000000002,55.33374,41.24967,28.65324,1.9311512415349887,1.4396162528216705,0.0,0.0,10.461990000000002,9.99306,70.27482,61.88259,1,15.21597,,,13.469610000000001,9.3206,13.081530000000003,mm40,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,2.0,2.0,1,1,1,1,2.0,1.0,1.0,140603
240,2,0,a,185.11416,55.6248,41.34669,30.48045,1.8249336870026525,1.356498673740053,4.13952,4.26888,7.147140000000001,7.260330000000001,54.28269,49.94913,1,15.78192,,,13.469610000000001,9.3206,12.4509,mm40,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,2.0,2.0,1,1,1,1,2.0,1.0,1.0,140603
240,2,0,m,123.39327000000002,36.49569,27.1656,17.38275,2.0995348837209304,1.5627906976744186,1.8272100000000002,3.02379,5.287590000000001,4.18803,30.65832,25.839660000000002,1,14.65002,4.41441,3.3186813186813184,13.469610000000001,9.3206,0.0,mm40,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,2.0,2.0,1,1,1,1,2.0,1.0,2.0,140603
240,1,0,m,153.50181,33.98934,24.077130000000004,13.162380000000002,2.582309582309582,1.8292383292383292,2.1021,2.8782600000000005,4.8833400000000005,5.41695,30.205560000000006,32.77659,1,11.998140000000001,4.576110000000001,2.6219081272084805,6.468,9.3206,0.0,mm40,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,1.0,1.0,1,1,1,1,2.0,1.0,2.0,140603
240,1,0,a,140.80836,58.19583,43.59432,22.864380000000004,2.545261669024045,1.9066478076379065,0.0,0.0,30.35109,23.75373,87.26949000000002,85.63632000000001,1,14.100240000000001,,,6.468,9.3206,23.6082,mm40,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,1.0,1.0,1,1,1,1,2.0,1.0,1.0,140603
240,2,0,m,115.84188,27.3273,20.76228,13.243230000000002,2.0634920634920633,1.5677655677655675,0.0,0.0,5.80503,5.756520000000001,35.18592,39.535650000000004,1,13.162380000000002,3.8969700000000005,3.3775933609958506,6.468,9.3206,0.0,mm40,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,2.0,2.0,1,1,1,1,2.0,1.0,2.0,140603
240,2,0,m,160.63278,44.04708,33.051480000000005,14.100240000000001,3.123853211009174,2.3440366972477067,2.19912,2.45784,5.610990000000001,6.93693,38.937360000000005,35.21826,1,14.747040000000002,5.12589,2.876971608832808,6.468,9.3206,0.0,mm40,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,2.0,2.0,1,1,1,1,2.0,1.0,2.0,140603
240,2,0,m,163.30083000000002,40.68372,30.27024,16.315530000000003,2.4935579781962334,1.855302279484638,2.21529,2.5872,5.41695,4.786320000000001,39.39012,34.86252,1,13.631310000000001,3.7352700000000003,3.6493506493506493,6.468,9.3206,0.0,mm40,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,2.0,2.0,1,1,1,1,2.0,1.0,2.0,140603
240,2,0,m,157.1724,45.95514,33.16467,15.24831,3.0137857900318132,2.1749734888653234,1.14807,2.89443,5.287590000000001,6.241620000000001,31.612350000000003,31.337460000000004,1,13.11387,1.73019,7.579439252336449,6.468,9.3206,0.0,mm40,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,2.0,2.0,1,1,1,1,2.0,1.0,2.0,140603
240,4,0,m,99.08976,38.888850000000005,30.528960000000005,12.725790000000002,3.0559085133418042,2.3989834815756037,3.18549,0.8085,5.756520000000001,4.98036,31.353630000000003,28.265160000000005,1,11.302830000000002,2.21529,5.102189781021899,6.468,9.3206,0.0,mm40,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,3.0,4.0,1,1,1,1,2.0,1.0,2.0,140603
240,2,0,a,166.77738000000002,58.082640000000005,40.473510000000005,21.231210000000004,2.7357197258187353,1.9063214013709062,4.91568,4.83483,14.19726,15.911280000000001,65.92509,5.44929,1,11.319,,,6.468,9.3206,20.30952,mm40,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,2.0,2.0,1,1,1,1,2.0,1.0,1.0,140603
240,2,0,a,170.85222,11.739419999999999,41.12031,24.51372,0.4788918205804749,1.6774406332453828,3.2016600000000004,3.5250600000000003,17.738490000000002,20.95632,62.25450000000001,67.39656000000001,1,12.677280000000001,,,6.468,9.3206,21.76482,mm40,df,asterina_miniata,echinodermata,bd,811.0,36.0,rah,2.0,2.0,1,1,1,1,2.0,1.0,1.0,140603
